Name/Type|Responsible Department|Permit/Fee Name and Description|Statutory Authority |Fees As of Dec. 31, 2012|"Fees As of
June 30, 2011"|Fees As of April 1, 2012|Sec. 1-13 Increase Applies?|Sec. 1-14 Admin Fee Applies?|Increase Date|"(6)
Dept. Assignment: CATEGORY 
1 Permit
2 License 
3 Inspection
4 Plan Review
5 Support/Service
6 Other"|"(7)
Dept. Assignment
CRITERIA
1 Escalator/Ordinance
2 Contract 
3 State Law
4 Mkt. Driven
5 Other Escalator
6 Other"|"DECIMAL NOTES 
for PWE"|Fee As Jan 1, 2013|CPI increase 1.024214%in format #.####|Variance|% change|1.024214|PWE SEQUENCE Request|NOTE|Sequence Key|Change
Wortham Golf|Parks and Recreation|Monday-Thursday Twilight|Motion 2010-0385|13|13||Y||40544|6|4||13|13|0|0|||||
Wortham Golf|Parks and Recreation|Monday-Thursday Twilight 2|Motion 2010-0385|10|10||Y||40544|6|4||10|10|0|0|||||
Wortham Golf|Parks and Recreation|Senior/Disabled (Mon-Thu)|Motion 2010-0385|10|10||Y||40544|6|4||10|10|0|0|||||
Correctional Facility Permit|Planning and Development|Application - Original|28-153(b)(1)|361.3|350||Y|||1|1||370.04|370.0485|8.74|0.024190423|||||
Correctional Facility Permit|Planning and Development|Application - Renewal|28-153(b)(1)|103.23|100||Y|||1|1||105.72|105.7296|2.49|0.024120895|||||
Correctional Facility Permit|Planning and Development|Permit transfer|28-156(b)|103.23|100||Y|||1|1||105.72|105.7296|2.49|0.024120895|||||
Hazardous Enterprises|Planning and Development|Permit, restricted or unrestricted|28-231(b)(10)|258.07|250||Y||40544|1|1||264.31|264.3189|6.24|0.024179486|||||
Hazardous Enterprises|Planning and Development|Registration|28-231(b)(10)|25.8|25||Y||40544|1|1||26.42|26.4247|0.62|0.024031008|||||
Hazardous Enterprises|Planning and Development|Transfer fee for haz mat|28-234|25.8|25||Y||40544|1|1||26.42|26.4247|0.62|0.024031008|||||
Historic Preservation|Planning and Development|Application for certificate of non-designation|33-228(a)|25.8|25||Y||40544|6-Historic Preservation|1||26.42|26.4247|0.62|0.024031008|||||
Location of hotels|Planning and Development|Permit to construct, alter or remodel|28-204|206.46|200||Y||40544|1|1||211.45|211.4592|4.99|0.024169331|||||
Location of hotels|Planning and Development|Variance|28-207|206.46|200||Y||40544|1|1||211.45|211.4592|4.99|0.024169331|||||
Off-street Parking and Loading|Planning and Development|Parking management areas|26-500(b)(1)|No charge|No charge|||N||6|6||No charge|No charge|0|0|||||
Off-street Parking and Loading|Planning and Development|Variance|26-561(a)(2)|972.42|942|||||6-Off Street Parking|1||995.96|995.9661|23.54|0.024207647|||||
Regulation of Towers|Planning and Development|Tower permit fees|41-57|340.65|330|||||1|1||348.89|348.8984|8.24|0.02418905|||||
Subdivisions, developments and platting: requirements and procedures|Planning and Development|Application for approval of a subdivision plat                                                                     Class I Plat                                                                                                                        |42-54|474.85|460|||||6-Platting Fees|1||486.34|486.348|11.49|0.024197115|||||
Subdivisions, developments and platting: requirements and procedures|Planning and Development|Application for approval of a subdivision plat Class 2 Plat                                                                                                                        |42-54|738.09|715|||||6-Platting Fees|1||755.96|755.9621|17.87|0.02421114|||||
Subdivisions, developments and platting: requirements and procedures|Planning and Development|Application for approval of a subdivision plat Class 3 Plat                                                                                                                        |42-54|738.09|715|||||6-Platting Fees|1||755.96|755.9621|17.87|0.02421114|||||
Subdivisions, developments and platting: requirements and procedures|Planning and Development|"Application for approval of a subdivision plat-
variance request = 30% of base fee                                                             "|42-54|738.09|715|||||6-Platting Fees|1||755.96|755.9621|17.87|0.02421114|||||
Subdivisions, developments and platting: requirements and procedures|Planning and Development|"Application for the approval of a development plat
Variance request =  30% of base fee. "|42-54|474.85|460|||||6-Platting Fees|1||486.34|486.348|11.49|0.024197115|||||
Subdivisions, developments and platting: requirements and procedures|Planning and Development|Application for the approval of a general plan|42-54|738.09|715|||||6-Platting Fees|1||755.96|755.9621|17.87|0.02421114|||||
Subdivisions, developments and platting: requirements and procedures|Planning and Development|Application for the approval of a street dedication plat|42-54|738.09|715|||||6-Platting Fees|1||755.96|755.9621|17.87|0.02421114|||||
Subdivisions, developments and platting: requirements and procedures|Planning and Development|Application for the approval of a subdivision plat: lot and reserve fees.|42-54|"$16.77 per lot
& $108.39 ea acre"|"$16.25 per lot
& $105.00 ea acre"|||||6|1||"$17.17 per lot
& $111.01 ea acre"|#VALUE!|0.52|0.032|||||
Subdivisions, developments and platting: requirements and procedures|Planning and Development|Extension of Approval|42-54|738.09|715|||||6-Platting Fees|1||755.96|755.9621|17.87|0.02421114|||||
Subdivisions, developments and platting: requirements and procedures|Planning and Development|Plat Name Change|42-54|242.59|235|||||6-Platting Fees|1||248.46|248.464|5.87|0.024197205|||||
Subdivisions, developments and platting: requirements and procedures|Planning and Development|Site Plan Compliance Review|42-54|46.45|45|||||6-Site Plan Compliance|1||47.57|47.5747|1.12|0.024111948|||||
Subdivisions, developments and platting: requirements and procedures|Planning and Development|Subdivision Plat Recordation|42-54|268.39|260|||||6-Platting Fees|1||274.88|274.8887|6.49|0.024181229|||||
Subdivisions, developments and platting: requirements and procedures|Planning and Development|Vacating Plat|42-54|738.09|715|||||6-Platting Fees|1||755.96|755.9621|17.87|0.02421114|||||
Trees, shrubs and screening fences|Planning and Development|Variance application fee|33-135(a)(2)|206.46|200||Y||40544|6-Landscaping|1||211.45|211.4592|4.99|0.024169331|||||
Amusements License|Police|Skeet club/shooting gallery|05-139|25|25||N|||2|6||25|25|0|0|||||
Apartment Community Registration Inspection|Police|Inspection fee|28-290(a)|400|400||Y||40909|3|6||400|400|0|0|||||
Auto Dealers License|Police|Automotive Parts Rebuilder Initial|08-58(a)(6)|220|220||Y||40909|2|5||220|220|0|0|||||
Auto Dealers License|Police|Automotive Parts Rebuilder Renewal|08-58(a)(6)|200|200||Y||40909|2|5||200|200|0|0|||||
Auto Dealers License|Police|Automotive Rebuilder and Dismantler Initial|08-58(a)(5)|610|610||Y||40909|2|5||610|610|0|0|||||
Auto Dealers License|Police|Automotive Rebuilder and Dismantler Renewal|08-58(a)(5)|590|590||Y||40909|2|5||590|590|0|0|||||
Auto Dealers License|Police|Dealer In Used Motor Vehicles, Initial|08-58(a)(2)|120|120||Y||40909|2|5||120|120|0|0|||||
Auto Dealers License|Police|Dealer In Used Motor Vehicles, Renewal|08-58(a)(2)|100|100||Y||40909|2|5||100|100|0|0|||||
Auto Dealers License|Police|Automotive Repair Facility Initial|08-58(a)(8)|490|490||Y||40909|2|5||490|490|0|0|||||
Auto Dealers License|Police|Automotive Repair Facility Renewal|08-58(a)(8)|470|470||Y||40909|2|5||470|470|0|0|||||
Auto Dealers License|Police|Automotive Storage Lot Operator Initial|08-58(a)(7)|330|330||Y||40909|2|5||330|330|0|0|||||
Auto Dealers License|Police|Automotive Storage Lot Operator Renewal|08-58(a)(7)|310|310||Y||40909|2|5||310|310|0|0|||||
Auto Dealers License|Police|Body Shop Facility With Storage Privileges Initial|08-58(a)(10)|510|510||Y||40909|2|5||510|510|0|0|||||
Auto Dealers License|Police|Body Shop Facility With Storage Privileges Renewal|08-58(a)(10)|470|470||Y||40909|2|5||470|470|0|0|||||
Auto Dealers License|Police|Certified copy of license|08-63|1|1||N|||2|5||1|1|0|0|||||
Auto Dealers License|Police|Dealer - New Vehicles, Parts, Accessories Renewal|08-58(c)(1)|460|460||Y||40909|2|5||460|460|0|0|||||
Auto Dealers License|Police|Dealer - Vehicles, Parts, Accessories - Initial|08-58(c)(1)|500|500||Y||40909|2|5||500|500|0|0|||||
Auto Dealers License|Police|Dealer In Motor Vehicles Initial|08-58(a)(1)|330|330||Y||40909|2|5||330|330|0|0|||||
Auto Dealers License|Police|Dealer In Motor Vehicles Renewal|08-58(a)(1)|310|310||Y||40909|2|5||310|310|0|0|||||
Auto Dealers License|Police|Dealer Transfer Fee- Initial or Renewal|08-62|30|30||Y||40909|2|5||30|30|0|0|||||
Auto Dealers License|Police|Disapproved License Refund Handing Fee|08-58(e)|40|40||Y||40909|2|5||40|40|0|0|||||
Auto Dealers License|Police|Duplicate Refund Handling Fee|08-58(d)|40|40||Y||40909|2|5||40|40|0|0|||||
Auto Dealers License|Police|Parking Facility Registration Certificate - Annual Renewal|26-606(f)|50|50||Y||40909|2|5||50|50|0|0|||||
Auto Dealers License|Police|Parking Facility Registration Certificate - Initial|26-606(b)|60|60||Y||40909|2|5||60|60|0|0|||||
Auto Dealers License|Police|Parking Facility Registration Update Fee|26-606(d)|10|10||Y||40909|2|5||10|10|0|0|||||
Auto Dealers License|Police|Parking Facility Reinspection Fee|26-606(c)|50|50||Y||40909|2|5||50|50|0|0|||||
Auto Dealers License|Police|PATSA Truck Fee|08-126(c)|660|660||Y||40544|2|5||660|660|0|0|||||
Auto Dealers License|Police|PATSA Wrecker Driver Fee|08-126(c)|75|75||Y||40909|2|5||75|75|0|0|||||
Auto Dealers License|Police|PATSA Wrecker Driver License Replacement|6.11|25|25|||||2|5||25|25|0|0|||||
Auto Dealers License|Police|Police private storage lot agreement - Annual|08-143(d)|1410|1410||Y||40909|2|5||1410|1410|0|0|||||
Auto Dealers License|Police|Private Property Truck Fee|08-111 (b)|100|100||N|||2|6|Just passed on 01/01/12|100|100|0|0|||||
Auto Dealers License|Police|Private Property Wrecker Driver License Replacement|8-136(b)(3)|5|5|||||2|5||5|5|0|0|||||
Auto Dealers License|Police|Retail Supply Dealer Initial|08-58(a)(4)|170|170||Y||40909|2|5||170|170|0|0|||||
Auto Dealers License|Police|Retail Supply Dealer Renewal|08-58(a)(4)|150|150||Y||40909|2|5||150|150|0|0|||||
Auto Dealers License|Police|Salesman license - Renewal|08-87(c)|60|60||Y||40909|2|5||60|60|0|0|||||
Auto Dealers License|Police|Salesman license - Transfer|08-88|20|20||Y||40909|2|5||20|20|0|0|||||
Auto Dealers License|Police|Salesman license- Initial |08-83|70|70||Y||40909|2|5||70|70|0|0|||||
Auto Dealers License|Police|Storage Lot Authorization Initial|08-158|150|150||Y||40909|2|5||150|150|0|0|||||
Auto Dealers License|Police|Storage Lot Authorization Renewal|08-159(a)|100|100||Y||40909|2|5||100|100|0|0|||||
Auto Dealers License|Police|Storage lot vehicle release City Administrative Fee|8-123(e )|20|20||Y||40909|2|5||20|20|0|0|||||
Auto Dealers License|Police|Used Parts & Used Accessory Dealer Initial|08-58(a)(9)|380|380||Y||40909|2|5||380|380|0|0|||||
Auto Dealers License|Police|Used Parts & Used Accessory Dealer Renewal|08-58(a)(9)|360|360||Y||40909|2|5||360|360|0|0|||||
Auto Dealers License|Police|Vehicle Immobilization Service Initial|26-652(c)|350|350||Y|||2|5||350|350|0|0|||||
Auto Dealers License|Police|Vehicle Immobilization Service Renewal|26-652(c)|250|250||Y|||2|5||250|250|0|0|||||
Auto Dealers License|Police|Wholesale Auto Jobber & Supply Dealer Initial|08-58(a)(3)|220|220||Y||40909|2|5||220|220|0|0|||||
Auto Dealers License|Police|Wholesale Auto Jobber & Supply Dealer Renewal|08-58(a)(3)|200|200||Y||40909|2|5||200|200|0|0|||||
Auto Dealers License|Police|Wholesale Jobber & Retail Supply Dealer Initial|08-58(c)(3)|390|390||Y||40909|2|5||390|390|0|0|||||
Auto Dealers License|Police|Wholesale Jobber & Retail Supply Dealer Renewal|08-58(c)(3)|350|350||Y||40909|2|5||350|350|0|0|||||
Auto Dealers License|Police|Wrecker Driver License Application (Private Property)|08-133|15|15||N|||2|3||15|15|0|0|||||
Auto Dealers License|Police|Wrecker Driver License Replacement|08-136(b)(3)|5|5||N|||2|5||5|5|0|0|||Request add on 8/7/12 by Ursula William & approval by Victor Gonzalez.||
Certified Copy Fee (Support)|Police|Certified copies of reports, records -  for each additional page|02-96|1.7|1.7||1.7|1.7|0|5|3||1.7|1.7|0|0|||Request add on 8/7/12 by Ursula William & approval by Victor Gonzalez.||
Certified Copy Fee (Support)|Police|Certified copies of reports, records - first page|02-96|3.4|3.4||3.4|3.4|0|5|3||3.4|3.4|0|0|||||
Finger Print Fee|Police|Fingerprinting services fee, per set of prints, maximum|34-1(a)|10|10||N|||5-Services|3||10|10|0|0|||||
Police Services|Police|Clearance Letters|02-97|20|20||Y||40544|6|5||20|20|0|0|||||
Police Training Services|Police|Use of police training services by outside agencies - training fees, registration fees, lab fees, printing fees, and other related fees|34-40|cost|cost||N|||6|6||cost|cost|0|0|||||
Track Fee|Police|Use of police driving track by private persons, per hour or portion thereof requested for local car clubs.|34-36(c)|5|5||N||40909|5-Services|6||5|5|0|0|||||
Administration|PWE|Use of training facilities/services by non-city employees|02-280| Calculation| Calculation||N|||6|6|| Calculation| Calculation|PW&E determines|PW&E determines|||||
Administration|PWE|Inter-departmental use of training facilities/services|02-280| Calculation| Calculation||N|||6|6|| Calculation| Calculation|PW&E determines|PW&E determines|||||
Administration|PWE|Parking in Post Office parking lot - M-F, 6am-6pm, per day|02-281(b)(1)|1.9|1.85||Y|||6|1||1.94|#VALUE!|0.04|0.021052632|||||
Administration|PWE|Parking in department's parking lots (special events) - All other times, per day|02-281(b)(2)|1.67|1.62||Y|||6|1||1.71|#VALUE!|0.04|0.023952096|||||
Abandonment / Sale of City Land, Streets |PWE|Cash deposit to obtain appraisal of land in question|02-240(b)|300|300||N|||6|6||300|300|0|0|||||
Abandonment / Sale of City Land / Streets|PWE|Abandonment of City Property Easements, Minimum|02-238(a)|300|300||Y|||6|1||307.26|#VALUE!|7.26|0.0242|||||
Abandonment / Sale of City Land / Streets|PWE|Abandonment of City Property Narrow Strips of Land, Minimum|02-239(2)a|300|300||Y|||6|1||307.26|#VALUE!|7.26|0.0242|||||
Abandonment / Sale of City Land / Streets|PWE|Abandonment of City Property Streets and Alleys, Minimum|02-237(1)|300|300||Y|||6|1||307.26|#VALUE!|7.26|0.0242|||||
Building Code -General|PWE|Fee Refunds - Base Charge |108.6|25.8|25||Y|||6|1||26.42|#VALUE!|0.62|0.024031008|||||
Building Code -General|PWE|Fee Refunds -- Base Charge Plus 10% |108.6|Calculation|Calculation||N|||6|6||Calculation|Calculation|||||||
Building Code -General|PWE|Permit or License Administrative Fee|117.1.1|25.8|25||Y|||6|1||26.42|#VALUE!|0.62|0.024031008|||||
Building Code -General|PWE|Approved fabricators - Inspection for approving a certified agent or agency |117.1.11|464.53|450||Y|||6|1||475.77|#VALUE!|11.24|0.0241965|||||
Building Code - General|PWE|Approved fabricators - Inspection for verifying and approving a fabricator |117.1.11|516.15|500||Y|||6|1||528.64|#VALUE!|12.49|0.024198392|||||
Building Code - General|PWE|Permit Name Change|117.1.14|72.26|70||Y|||6|1||74|#VALUE!|1.74|0.024079712|||||
Building Code -General|PWE|Permit Address Change|117.1.14|72.26|70||Y|||6|1||74|#VALUE!|1.74|0.024079712|||||
Building Code -General|PWE|Request for special approval, alternate method, interpretation or modification due to practical difficulty - STANDARD|117.1.15|41.29|40||Y|||6|1||42.28|#VALUE!|0.99|0.02397675|||||
Building Code -General|PWE|Request for special approval, alternate method, interpretation or modification due to practical difficulty - MODERATE,  2 to 4 Hours|117.1.15|103.23|100||Y|||6|1||105.72|#VALUE!|2.49|0.024120895|||||
Building Code - General|PWE|Request for special approval, alternate method, interpretation or modification due to practical difficulty - EXTENSIVE Base Charge|117.1.15|516.15|500||Y|||6|1||528.64|#VALUE!|12.49|0.024198392|||||
Building Code - General|PWE|Request for special approval, alternate method, interpretation or modification due to practical difficulty EXTENSIVE Base Charge Plus Fee for each hour or fraction thereof over 4 hours  |117.1.15|129.03|125||Y|||6|1||132.15|#VALUE!|3.12|0.024180423|||||
Building Code - General|PWE|Fee or Deposit Fee Receipt when issued by the building official|117.1.2|25.8|25||Y|||6|1||26.42|#VALUE!|0.62|0.024031008|||||
Building Code-General Inspection|PWE|Re-Inspection Fee|117.1.5|72.26|70||Y|||3|1||74|#VALUE!|1.74|0.024079712|||||
Building Code - General Inspection|PWE|Specially Requested Inspection during working hours|117.1.6|247.75|240||Y|||3|1||253.74|#VALUE!|5.99|0.024177598|||||
Building Code - General Inspection|PWE|Emergency Inspection Base Charge for up to 4 hours|117.1.7|154.84|150||Y|||3|1||158.58|#VALUE!|3.74|0.024153965|||||
Building Code - General Inspection|PWE|Emergency Inspection Base Charge plus Fee for each hour or fraction thereof above 4 hours |117.1.7|36.13|35||Y|||3|1||37|#VALUE!|0.87|0.024079712|||||
Building Code - General Inspection|PWE|Inspection & Plan Review Outside Normal Working Hours Base Charge for up to 4 hours|117.1.8|247.75|240||Y|||3|1||253.74|#VALUE!|5.99|0.024177598|||||
Building Code - General Inspection|PWE|Inspection & Plan Review Outside Normal Working Hours Base Charge Plus Fee for each hour or fraction thereof above 4 hours |117.1.8|64.51|62.5||Y|||3|1||66.07|#VALUE!|1.56|0.024182297|||||
Building Code - General Inspection|PWE|Inspection Outside of Jurisdiction plus mileage established per IRS|117.1.9|247.75|240||Y|||3|1||253.74|#VALUE!|5.99|0.024177598|||||
Building Code - General|PWE|Minimum Investigation Fee  - Work Without a Permit|117.1.16 (304.4) / 2011-656 (8.3.11)|256.32|256.32||Y|||6|1||262.52|#VALUE!|6.2|0.024188514|||||
Building Code - General|PWE|Minimum Permit Fee For all Permits except Plumbing|117.1.3|70|70||Y|||6|1||71.69|#VALUE!|1.69|0.024142857|||||
Building Code - General Plan Review|PWE|"City Engineer Plan Review
upon first submittal, administrative fee per set of plans"|02-283|103.23|100||Y|N||4|1||105.72|#VALUE!|2.49|0.024120895|||||
Building Code - General Plan Review|PWE|"City Engineer Plan Review
upon first submittal, plan review fee per plan sheet"|02-283|74.32|72||Y|N||4|1||76.11|#VALUE!|1.79|0.024085038|||||
Building Code-General Plan Review|PWE|"City Engineer Plan Review
upon re-submittal, plan review fee per added plan sheet"|02-283|74.32|72||Y|N||4|1||76.11|#VALUE!|1.79|0.024085038|||||
Building Code - General|PWE|Notice to building owners or building managers that an individual has requested their building plans - Administrative fee|02-284(b)|51.61|50||Y|N||4|1||52.85|#VALUE!|1.24|0.024026351|||||
Building Code - Alarms, Detectors, Electronic Locks, Central Station Security Testing |PWE|Electronic locks for the first 2 floors|117.10 / 2011-656 (8.3.11)|50|50||Y|||1|1||51.21|#VALUE!|1.21|0.0242|||||
Building Code - Alarms, Detectors, Electronic Locks, Central Station Security Testing |PWE|Electronic locks  for each additional floor after the first 2 floors |117.10 / 2011-656 (8.3.11)|15|15||Y|||1|1||15.36|#VALUE!|0.36|0.024|||||
Building Code - Alarms, Detectors, Electronic Locks, Central Station Security Testing |PWE|Electronic locks Minimum permit fee|117.1.3|70|70||Y|||1|1||71.69|#VALUE!|1.69|0.024142857|||||
Building Code - Boilers |PWE|Boiler installation - Base Charge|117.4.1 / 2010-1016 (12.15.10)|36.13|35||Y|||1|1||37|#VALUE!|0.87|0.024079712|||||
Building Code - Boilers |PWE|Boiler Installation - Base Charge Plus Fee per BHP or part thereof |117.4.1 / 2010-1016 (12.15.10)|4.12|4||Y|||1|1||4.21|#VALUE!|0.09|0.02184466|||||
Building Code - Boilers |PWE|Boiler Installation Minimum Permit Fee|117.4 & 117.1.3|70|70||Y|||1|1||71.69|#VALUE!|1.69|0.024142857|||||
Building Code - Boilers |PWE|Boiler Installation Maximum Permit Fee|117.4.1|3000|3000||Y|||1|1||3072.64|#VALUE!|72.64|0.024213333|||||
Building Code - Boilers|PWE|Boiler annual fee|117.4.2 |51.61|50||Y|||6|1||52.85|#VALUE!|1.24|0.024026351|||||
Building Code - Boilers |PWE|Boiler Repair Base Charge  |117.4.3 |36.13|35||Y|||1|1||37|#VALUE!|0.87|0.024079712|||||
Building Code - Boilers |PWE|Boiler Repair Base Charge Plus 2% of Valuation |117.4.3 / 2010-1016 (12.15.10)|Calculation|Calculation||N|||1|4||Calculation|Calculation|#VALUE!|#VALUE!|||||
Building Code - Boilers |PWE|Boiler Operator Permit - New|117.4 & 124.0|70|70||Y|||1|1||71.69|#VALUE!|1.69|0.024142857|||||
